RouteNumber|Name|Stations
1|Калотина запад - София - Пловдив - Свиленград|Калотина Запад,Калотина,Драгоман,Алдомировци,Сливница,Петърч,Костинброд,Костинброд сп.,Волуяк,Централна ЖП гара София,Подуяне,Искърско шосе,Искър,Царската гара,гара Казичене,спирка Верила,Гара Елин Пелин,спирка Побит камък,Вакарел,Веринско,Ихтиман,Костенец,Септември,Звъничево,Мокрище,Пазарджик,Огняново,Хаджиево,Стамболийски,Пловдив,Крумово,сп. Ягодово,Катуница,сп. Чешнегирово,Поповица,Първомай,Караджалово,сп. Ябълково,Крум,Димитровград,Симеоновград,Харманли,Любимец,Свиленград
2|Варна - Горна Оряховица - София|Варна,Тополите,Езерово,Моряк,Страшимирово,Белослав,Повеляново,Разделна,Тръстиково,Синдел Разпределителна,Житница,Провадия,Венчан,Равна,Невша,Каспичан,Мадара,Гара Мътница,Шумен,Хан Крум,Кочово,Надарево,Ловец,Търговище,Здравец,Дралфа,Караджата,Попово,Медовина,Славяново,Стражица,Кесарево,Джулюница,Козаревец,Горна Оряховица,Поликраище,Ресен,Русаля Дичин,Лесичери,Михалци-Стамболово,Павликени,Бутово,Градище,Левски,Каменец,Одърне,Пордим,Гривица,Плевен,Плевен Запад,Ясен,Долни Дъбник,Горни Дъбник,Телиш,Червен Бряг,Карлуково,Кунино,жп Гара Роман,Струпец,Мездра,Мездра юг,Ребърково,Зверино,Оселна,Елисейна,Пролет,Левище,жп школа Лакатник,Гара Лакатник,Балкан,Бов,Церово,Желен,ЖП Гара Своге,ЖП спирка Орлин,Томпсън,Реброво,Луково,Владо Тричков,Ромча,Курило,Кумарица,ЖП гара Илиянци,София Север,Централна ЖП гара София
4|Русе - Горна Оряховица - Дъбово|Русе Разпределителна Гара,Русе Централна Гара,Иваново,Табачка,Две могили,Батишница,Борово,Бяла,Полски Тръмбеш,Раданово,Петко Каравелово,Куцина,Крушето,Янтра,Горна Оряховица,Самоводене,Велико Търново,Дебелец,Соколово,Ганчовец,Дряново,Царева ливада,Трявна,Божковци,Плачковци,Кръстец,Радунци,Дъбово,Тулово,Змейово,Стара Загора,Християново,Калояновец,Михайлово,Димитриево,Меричлери,Димитровград север,Димитровград,Хасково,Книжовник,Средна Арда,Звезделина,Момина скала,Железни врата,Кърджали,Джебел
5|София - Радомир - Кулата|Централна ЖП гара София,Захарна фабрика,Горна баня,Владая,Драгичево,Перник разпределителна,Перник,Кракра,Батановци,Радомир,Гара Долни Раковец,Гълъбник,Делян,Дяково,Яхиново,Дупница,Бобошево,Мурсалево,Гара Кочериново,Благоевград,ЖЕЛЕЗНИЦА,Симитли,Черниче,Пейо Яворов,Кресна,Градешница,Струмяни,Сандански,Дамяница,Генерал Тодоров,Кулата
 |Петрич - Генерал Тодоров|Петрич,Генерал Тодоров
 |Бобов дол - Дупница|Бобов дол,Дупница
 |Радомир - Кюстендил - Гюешево|Радомир,Жабляно,Земен,Раждавица,Копиловци,Кюстендил,Долно село,Гюешево
7|Мездра - Видин|Мездра,Враца,Охрид,Бойчиновци,Мърчево,Габровница,Долно Церовене,Медковец,Брусарци,Дъбова махала,Дреновец,Воднянци,Орешец,Димово,Срацимир,Жеглица,Синаговци-гурково,Видбол,Слана бара,Товарна гара Видин,ЖП гара Видин
 |Лом - Брусарци|Лом,Трайково,Сталийска махала,Василовци,Крива бара,Брусарци
8|Бургас - Стара Загора - Пловдив|Бургас Централна гара,Владимир Павлов,Бургас Разпределителна,Долно Езерово,Дружба,Българово,Айтос,Карнобат,Церковски,ж.п спирка Атолово,Стралджа,Зимница,Ямбол,ж.п.гара Безмер,ж.п гара Кермен,Нова Загора,жп гара Хан Аспарухово,Калитиново,Стара Загора,Християново,Калояновец,Михайлово,Свобода,Чирпан,Черна Гора,Оризово,Белозем,Маноле / Manole,Скутаре,Филипово,Пловдив
9|Каспичан - Русе|Каспичан,Плиска,ж.п. гара Хитрино,Байково,Висока поляна,Самуил,Ясеновец,Разград,Раковски,ЖП гара Просторно,Сеново,Ветово,Русе Разпределителна Гара
