Latitude | Longitude | Name
42.0368955 | 23.8204387 | Аврамово
42.6953942 | 27.2459886 | Айтос
42.8793990 | 22.9876599 | Алдомировци
42.7290885 | 24.2472681 | Антон
42.0145983 | 24.8691601 | Асеновград
42.9875335 | 27.3168936 | Аспарухово
43.4652544 | 26.8468309 | Байково
43.0682841 | 23.3695990 | Балкан
42.7058965 | 23.1512595 | Банкя
41.8439702 | 23.4902688 | Банско
42.5420389 | 24.8454175 | Баня
42.5954734 | 22.9536343 | Батановци
43.5452703 | 25.8497999 | Батишница
41.9175715 | 23.5796397 | Белица
42.2017999 | 25.0459431 | Белозем
43.1985870 | 27.7059851 | Белослав
43.2399241 | 23.1398158 | Берковица
42.0134639 | 23.0850569 | Благоевград
42.3758498 | 23.0005404 | Бобов дол
42.1584567 | 23.0374075 | Бобошево
43.0219368 | 23.3516708 | Бов
42.8564573 | 25.4650104 | Божковци
43.5167062 | 24.5790304 | Божурица
42.8743451 | 22.8611552 | Боиловци
43.4751384 | 23.3383631 | Бойчиновци
43.4881855 | 25.8096008 | Борово
42.6012208 | 24.8938072 | Ботев
42.7423130 | 23.5178121 | Ботунец
42.7581767 | 23.0237232 | Бригадирска слава
43.6652352 | 23.0753272 | Брусарци
42.7155845 | 23.9381512 | Буново
42.5171461 | 27.4241783 | Бургас Разпределителна
42.4905444 | 27.4726921 | Бургас Централна гара
43.3025860 | 25.2171103 | Бутово
42.5958706 | 27.3020822 | Българово
43.4689378 | 25.6694110 | Бяла
42.5564158 | 23.7076946 | Вакарел
42.1556003 | 24.1376407 | Варвара
43.1981713 | 27.9112168 | Варна
43.2090823 | 27.8864252 | Варна - сп.
43.7123706 | 23.1308127 | Василовци
42.8325658 | 26.9733951 | Ведрово
43.0741467 | 25.6380823 | Велико Търново
42.0248082 | 23.9963182 | Велинград
43.0472244 | 27.4416506 | Величково
43.2331570 | 27.3903924 | Венчан
42.4955326 | 23.7691570 | Веринско
43.6946208 | 26.2482478 | Ветово
43.9134664 | 22.8194442 | Видбол
43.4693267 | 26.7701095 | Висока поляна
42.6233863 | 23.1859880 | Владая
42.5022882 | 27.4575061 | Владимир Павлов
42.8610157 | 23.3718200 | Владо Тричков
43.7046641 | 22.8530462 | Воднянци
42.7548363 | 23.2444286 | Волуяк
43.2087597 | 23.5577245 | Враца
43.5351526 | 23.2664898 | Габровница
42.8846911 | 25.3165207 | Габрово
42.9912811 | 25.5173132 | Ганчовец
43.4688605 | 25.6693410 | Гара Бяла
42.4679127 | 22.9957449 | Гара Долни Раковец
42.9364151 | 25.9093865 | Гара Елена
42.6282319 | 23.5787029 | Гара Елин Пелин
42.6905334 | 24.4624105 | Гара Клисура
42.0807819 | 23.0376219 | Гара Кочериново
43.0826155 | 23.3786069 | Гара Лакатник
43.2830954 | 27.0248693 | Гара Мътница
42.6777458 | 26.0726708 | Гара Чумерна
43.6615761 | 27.9533610 | Генерал Колево
41.4559420 | 23.2805194 | Генерал Тодоров
43.7014693 | 28.0336245 | Генерал Тошево
43.6674487 | 26.8038894 | Голям Поровец
43.1401785 | 25.6804483 | Горна Оряховица
42.6755910 | 23.2423863 | Горна баня
43.3801344 | 24.3443728 | Горни Дъбник
41.6772344 | 23.1848268 | Градешница
43.3262264 | 25.2085349 | Градище
42.2840389 | 24.7321279 | Граф Игнатиево
43.4101481 | 24.6955290 | Гривица
42.4131592 | 23.0850637 | Гълъбник
42.2358041 | 22.4761626 | Гюешево
41.5047886 | 23.2702217 | Дамяница
43.5883296 | 25.8725239 | Две могили
43.0454756 | 25.5966842 | Дебелец
43.2177441 | 27.5961287 | Девня
42.3875231 | 23.1093287 | Делян
41.5651236 | 25.3908691 | Джебел
43.1607667 | 25.8829668 | Джулюница
42.1869145 | 25.5467045 | Димитриево
42.0548095 | 25.5931073 | Димитровград
42.0712286 | 25.5737600 | Димитровград север
43.7359069 | 22.7221863 | Димово
41.8254363 | 23.5622341 | Добринище
43.5661573 | 27.8155835 | Добрич
43.5915892 | 27.8401642 | Добрич Север
43.2266506 | 24.8444890 | Дойренци
42.0924096 | 24.0484684 | Долене
42.4080811 | 24.7784639 | Долна Махала
43.4729804 | 24.5376180 | Долна Митрополия
43.6616626 | 24.7474235 | Долни Вит
43.4139994 | 24.4296193 | Долни Дъбник
42.5161407 | 27.3609784 | Долно Езерово
42.7132972 | 23.8619936 | Долно Камарци
43.5923164 | 23.2251384 | Долно Церовене
42.2986157 | 22.4967535 | Долно село
43.5184320 | 27.7680990 | Дончево
42.6051500 | 23.1327598 | Драгичево
42.9221887 | 22.9318242 | Драгоман
43.5194796 | 25.2428861 | Драгомирово
43.3317602 | 26.4340362 | Дралфа
43.6923431 | 22.9729099 | Дреновец
42.5613570 | 27.3171449 | Дружба
42.9713626 | 25.4760606 | Дряново
43.8029327 | 27.1476349 | Дулово
42.6590686 | 25.3023217 | Дунавци
42.2598064 | 23.1031831 | Дупница
43.6842879 | 23.0165722 | Дъбова махала
42.6141811 | 25.6376685 | Дъбово
43.0612729 | 25.6310124 | Дълга лъка
43.0479273 | 27.3410020 | Дългопол
42.8859348 | 27.1942274 | Дъскотна
42.3292390 | 23.1052299 | Дяково
43.1974720 | 27.7688995 | Езерово
43.0773843 | 23.4880179 | Елисейна
42.1768734 | 26.5680205 | Елхово
41.9253737 | 23.1048865 | ЖЕЛЕЗНИЦА
42.9599768 | 23.3489474 | ЖП Гара Своге
42.7522111 | 23.2131889 | ЖП гара Божурище
43.9842416 | 22.8751183 | ЖП гара Видин
42.7506621 | 23.3262101 | ЖП гара Илиянци
43.6432337 | 26.4807189 | ЖП гара Просторно
42.7266007 | 23.3164881 | ЖП гара София Север
42.9512592 | 23.3681182 | ЖП спирка Орлин
42.4910022 | 22.7908746 | Жабляно
43.8867472 | 22.7995439 | Жеглица
41.6301547 | 25.4180263 | Железни врата
42.9802430 | 23.3619492 | Желен
42.6058811 | 26.4861370 | Желю войвода
43.1106174 | 27.5229194 | Житница
42.8413681 | 27.0389824 | Завет
42.7128370 | 23.2912830 | Захарна фабрика
41.6425612 | 25.4826352 | Звезделина
43.0811568 | 23.5712936 | Зверино
42.1873810 | 24.2406459 | Звъничево
43.2892804 | 26.4994099 | Здравец
42.4808399 | 22.7471297 | Земен
42.5854310 | 26.5981705 | Зимница
42.7159720 | 24.1265463 | Златица
42.7655209 | 23.0398643 | Златуша
42.4986007 | 25.5959748 | Змейово
43.6833163 | 25.9558724 | Иваново
42.6644692 | 23.4129414 | Искър
42.6696876 | 23.4030899 | Искърско шосе
43.7041032 | 26.8346109 | Исперих
42.4292619 | 23.7988699 | Ихтиман
42.6138328 | 25.3915575 | Казанлък
44.0855735 | 27.2197006 | Калипетрово
42.4269865 | 25.7315691 | Калитиново
42.9798575 | 22.8511825 | Калотина
42.9940465 | 22.8434305 | Калотина Запад
42.5962354 | 25.0042354 | Калофер
42.3109322 | 25.5693780 | Калояновец
42.3341979 | 24.7555724 | Калояново
43.3627389 | 25.0063100 | Каменец
42.1023508 | 25.3207665 | Караджалово
43.3063399 | 26.3124804 | Караджата
43.7529973 | 28.1144706 | Кардам
42.6319099 | 24.8048110 | Карлово
43.1888557 | 24.0712750 | Карлуково
42.6678495 | 26.9773650 | Карнобат
43.3116258 | 27.1670225 | Каспичан
42.1015957 | 24.8757220 | Катуница
43.1682917 | 25.9295152 | Кесарево
43.7244595 | 26.8893065 | Китанчево
41.8250785 | 25.5962959 | Книжовник
43.1386671 | 25.8176885 | Козаревец
43.5861201 | 24.6320309 | Комарево
43.0064957 | 27.2903660 | Комунари
42.3313076 | 22.7331478 | Копиловци
42.7007328 | 24.3390143 | Копривщица
42.0356741 | 24.0704378 | Костандово
42.3082460 | 23.8600371 | Костенец
42.8071688 | 23.1996721 | Костинброд
